,0,,,,,,,,x,y
,,,,,,,,,312.899,0.896491006
,,,,,,,,,313.098,0.5
,,,,,,,,,313.816,0.849607006
,,,,,,,,,314.243,0.868351228
,,,,,,,,,314.701,0.321579493
,,,,,,,,,314.853,0.999850558
,,,,,,,,,315.58,0.755470236
,,,,,,,,,319.182,0.743165748
,,,,,,,,,321.993,0.9
,,,,,,,,,322.198,0.921650429
,,,,,,,,,322.63,0.5
,,,,,,,,,324.119,0.5
,,,,,,,,,324.261,0.878053638
,,,,,,,,,325.533,0.950773716
,,,,,,,,,327.022,0.894826934
,,,,,,,,,327.819,0.351702442
,,,,,,,,,328.699,0.995180173
,,,,,,,,,329.025,0.473767218
,,,,,,,,,329.063,0.838182989
,,,,,,,,,330.558,0.780200587
,,,,,,,,,330.62,0.5
,,,,,,,,,330.88,0.693167717
,,,,,,,,,330.985,0.473767218
,,,,,,,,,331.259,0.8
,,,,,,,,,332.793,0.562228069
,,,,,,,,,333.09,0.843695179
,,,,,,,,,335.161,0.976314069
,,,,,,,,,336.959,0.473767218
,,,,,,,,,337.732,0.473767218
,,,,,,,,,338.832,0.433901276
,,,,,,,,,341.295,0.574549474
,,,,,,,,,343.988,0.612775616
,,,,,,,,,345.314,0.59424682
,,,,,,,,,345.765,0.944444444
,,,,,,,,,349.019,0.793338775
,,,,,,,,,353.374,0.478047981
,,,,,,,,,354.148,0.478789739
,,,,,,,,,358.939,0.813594405
,,,,,,,,,362.666,0.473767218
,,,,,,,,,363.899,0.473767218
,,,,,,,,,364.009,0.981105022
,,,,,,,,,364.801,0.670469696
,,,,,,,,,367.852,0.999266611
,,,,,,,,,369.628,0.99418281
,,,,,,,,,369.65,0.69673607
,,,,,,,,,372.08,0.473767218
,,,,,,,,,372.546,0.986035757
,,,,,,,,,372.779,0.279354758
,,,,,,,,,375.065,0.95206174
,,,,,,,,,375.369,0.923210428
,,,,,,,,,377.139,0.84916902
,,,,,,,,,378.268,0.602831989
,,,,,,,,,380.981,1.844481796
,,,,,,,,,381.599,0.961658031
,,,,,,,,,383.766,0.717911586
,,,,,,,,,384.744,0.966437723
,,,,,,,,,387.041,0.935085148
,,,,,,,,,388.486,0.988712195
,,,,,,,,,388.584,0.634085342
,,,,,,,,,388.792,0.904610306
,,,,,,,,,389.675,0.800417518
,,,,,,,,,389.721,0.908237383
,,,,,,,,,390.481,0.809367069
,,,,,,,,,390.756,0.25456189
,,,,,,,,,390.848,0.5
,,,,,,,,,392.253,0.974080023
,,,,,,,,,392.703,0.737909964
,,,,,,,,,392.905,0.993055851
,,,,,,,,,394.979,0.736842105
,,,,,,,,,399.284,0.996627367
,,,,,,,,,399.331,0.989985969
,,,,,,,,,403.114,0.998130909
,,,,,,,,,404.065,0.986793499
,,,,,,,,,404.18,0.890142453
,,,,,,,,,406.016,0.843695179
,,,,,,,,,406.374,0.544897209
,,,,,,,,,407.265,0.991801907
,,,,,,,,,409.531,0.994252598
,,,,,,,,,409.944,0.438781187
,,,,,,,,,411.572,0.999622828
,,,,,,,,,411.839,0.473767218
,,,,,,,,,417.204,0.5
,,,,,,,,,420.418,0.642857143
,,,,,,,,,420.499,0.913360035
,,,,,,,,,424.146,0.8831136
,,,,,,,,,424.26,0.936570721
,,,,,,,,,426.419,0.473767218
,,,,,,,,,426.828,0.439047619
,,,,,,,,,430.067,0.058741115
,,,,,,,,,430.252,0.914621788
,,,,,,,,,430.575,0.983417851
,,,,,,,,,431.654,0.340598396
,,,,,,,,,431.657,0.340598396
,,,,,,,,,431.825,0.13085768
,,,,,,,,,431.874,0.537587569
,,,,,,,,,432.075,0.340598396
,,,,,,,,,432.586,0.099479625
,,,,,,,,,432.678,0.2062272
,,,,,,,,,432.699,0.875
,,,,,,,,,433.02,0.230204638
,,,,,,,,,434.399,0.340598396
,,,,,,,,,434.405,0.981896717
,,,,,,,,,434.751,0.932665267
,,,,,,,,,435.408,0.428571429
,,,,,,,,,436.464,0.918361381
,,,,,,,,,436.515,0.99337309
,,,,,,,,,436.62,0.211720492
,,,,,,,,,437.465,0.340598396
,,,,,,,,,437.634,0.527233141
,,,,,,,,,437.682,0.563009565
,,,,,,,,,437.822,0.961223487
,,,,,,,,,438.413,0.675622195
,,,,,,,,,439.235,0.59218587
,,,,,,,,,439.801,0.062594932
,,,,,,,,,440.809,0.433697173
,,,,,,,,,441.703,0.807163841
,,,,,,,,,442.733,0.826298087
,,,,,,,,,443.742,0.5
,,,,,,,,,444.334,0.034772879
,,,,,,,,,445.417,0.094597318
,,,,,,,,,445.841,0.573661724
,,,,,,,,,446.956,0.519396996
,,,,,,,,,449.049,0.813960797
,,,,,,,,,449.237,0.8
,,,,,,,,,449.766,0.858855168
,,,,,,,,,449.816,0.473767218
,,,,,,,,,451.288,0.99183943
,,,,,,,,,452.868,0.552793553
,,,,,,,,,453.287,0.577802061
,,,,,,,,,455.219,0.72928743
,,,,,,,,,455.612,0.974579624
,,,,,,,,,455.821,0.953018591
,,,,,,,,,456.068,0.931693677
,,,,,,,,,456.559,0.999538765
,,,,,,,,,456.582,0.571837151
,,,,,,,,,456.592,0.992304595
,,,,,,,,,456.828,0.301887437
,,,,,,,,,457.059,0.429388408
,,,,,,,,,457.092,0.999178475
,,,,,,,,,457.187,0.278667191
,,,,,,,,,457.863,0.975134927
,,,,,,,,,458.148,0.342899272
,,,,,,,,,458.372,0.995726987
,,,,,,,,,458.379,0.901265961
,,,,,,,,,458.659,0.975134927
,,,,,,,,,459.089,0.526232782
,,,,,,,,,459.453,0.995726987
,,,,,,,,,460.191,0.972716261
,,,,,,,,,460.667,0.975134927
,,,,,,,,,460.757,0.840472384
,,,,,,,,,461.431,0.868421053
,,,,,,,,,461.592,0.091954023
,,,,,,,,,462.103,0.146950043
,,,,,,,,,462.306,0.473767218
,,,,,,,,,462.834,0.904944327
,,,,,,,,,462.879,0.475304865
,,,,,,,,,463.753,0.519396996
,,,,,,,,,464.039,0.982929791
,,,,,,,,,464.469,0.934791505
,,,,,,,,,465.717,0.764270934
,,,,,,,,,466.579,0.526232782
,,,,,,,,,467.045,0.789584339
,,,,,,,,,467.114,0.935435202
,,,,,,,,,467.361,0.166666667
,,,,,,,,,468.089,0.209492379
,,,,,,,,,468.102,0.714353658
,,,,,,,,,468.558,0.764270934
,,,,,,,,,469.678,0.091954023
,,,,,,,,,469.83,0.894539097
,,,,,,,,,470.227,0.526232782
,,,,,,,,,470.392,0.71429011
,,,,,,,,,471.099,0.394638152
,,,,,,,,,471.151,0.789584339
,,,,,,,,,471.57,0.979345293
,,,,,,,,,472.252,0.90828462
,,,,,,,,,472.288,0.5
,,,,,,,,,472.533,0.952135715
,,,,,,,,,472.613,0.5
,,,,,,,,,472.703,0.447678459
,,,,,,,,,472.919,0.21545526
,,,,,,,,,473.685,0.821762603
,,,,,,,,,473.835,0.526232782
,,,,,,,,,473.958,0.985002002
,,,,,,,,,474.206,0.389282292
,,,,,,,,,474.464,0.473767218
,,,,,,,,,474.899,0.241321866
,,,,,,,,,475.395,0.99703265
,,,,,,,,,475.409,0.842439758
,,,,,,,,,475.458,0.71429011
,,,,,,,,,475.803,0.606758026
,,,,,,,,,475.919,1.243577518
,,,,,,,,,476.001,0.764270934
,,,,,,,,,476.059,0.473767218
,,,,,,,,,476.814,0.729795391
,,,,,,,,,477.035,0.473767218
,,,,,,,,,477.118,0.406449149
,,,,,,,,,477.67,0.464551769
,,,,,,,,,477.707,0.434165394
,,,,,,,,,477.772,0.719453994
,,,,,,,,,478.45,0.57580419
,,,,,,,,,478.666,0.764270934
,,,,,,,,,478.723,0.389948007
,,,,,,,,,479.452,0.5
,,,,,,,,,479.679,0.963854024
,,,,,,,,,479.738,0.473767218
,,,,,,,,,479.858,0.473767218
,,,,,,,,,479.902,0.149967265
,,,,,,,,,480.005,0.82594466
,,,,,,,,,480.218,0.60826033
,,,,,,,,,480.331,0.767348999
,,,,,,,,,480.732,0.891451063
,,,,,,,,,481.272,0.573742913
,,,,,,,,,481.744,0.363076424
,,,,,,,,,481.846,0.979205963
,,,,,,,,,481.9,0.149967265
,,,,,,,,,482.101,0.729795391
,,,,,,,,,482.201,0.308139535
,,,,,,,,,482.905,0.390023128
,,,,,,,,,483.135,0.414522014
,,,,,,,,,483.463,0.764270934
,,,,,,,,,483.659,0.682611822
,,,,,,,,,483.778,0.679971915
,,,,,,,,,483.859,0.217454516
,,,,,,,,,484.078,0.84991229
,,,,,,,,,484.519,0.815344778
