,danmu,time
661, 没经历过苦难的人才会歌颂苦难, 0.023
662, 我们还是看看周公子朋友圈吧, 196.669
663, 我们看到的是周公子朋友圈, 210.365
664, 三天可以学会木匠?真神童也, 63.638
665, 敬二舅, 45.002
666, 刷好几遍了，还是想看, 132.137
667, 敬二舅, 16.233
668, 致敬, 28.299
669, 苦难是用来歌颂的，让你二舅说话可以，说不定他对现实很不满，强加意志给你二舅？, 2.419
670, 致敬二舅, 333.09
671, 房地产这时候就开始了吗, 239.039
672, 我在太原车上广播听到的, 15.485
673, 入站必刷, 9.748
674, 敬二舅, 17.05
675, 好厉害, 176.539
676, 二舅太牛了, 187.37
677, 这个时候就有照片了，只是画质糊一点，可以去问问长辈, 213.087
678, 史森明吗, 212.411
679, 敬二舅, 179.139
680, 敬二舅, 47.185
681, 致敬二舅, 7.664
682, 拉帮套, 286.639
683, 二万多的人都出来吧, 78.637
684, 敬二舅, 181.395
685, 敬二舅, 58.736
686, 保护, 7.583
687, 敬二舅, 27.774
688, 他公平, 122.459
689, 责任, 262.951
690, 580万硬币啊厉害死了哈哈, 5.699
691, 最大的悲哀：没人想成为二舅，却被逼着扮演起了二舅。, 349.019
692, 所谓情感, 304.499
693, 那个年代的婚姻几乎都是媒妁之言，父母之命, 286.74
694, 敬二舅, 18.765
695, 敬二舅, 68.236
696, 高看十眼, 189.819
697, 弹幕, 13.882
698, 突然想到余华的活着, 345.314
699, 敬二舅, 200.958
700, 谁也不想当二舅啊，都想当周公子, 6.459
701, 作者告诉我们不要乱打针，否则后果很严重, 5.579
702, 致敬每一个认真生活的人, 20.739
703, 敬二舅, 15.957
704, 或许你二舅他早已忘怀, 327.819
705, 贴牌家具石锤了, 203.546
706, 是金子果然到哪里都会发光！！！尊唐YYDS, 0.0
707, 回来点个三连, 8.711
708, 敬二舅, 0.0
709, 敬二舅, 12.906
710, 敬二舅, 49.182
711, 从苦难者身上汲取力量，又有谁去在意苦难者的苦难？, 80.37
712, 敬二舅, 3.545
713, 从苦难者身上汲取力量，又有谁去在意苦难者的苦难？, 107.29
714, 敬二舅, 10.979
715, 敬二舅, 31.978
716, 0:14, 278.078
717, 二舅好惨, 315.58
718, 每多一个二舅的故事，我就深感前路漫漫。不用人民负重前行的社会何时会来。, 53.158
719, 鲁迅, 60.98
720, 常看常新, 0.0
721, 昨天晚上班主任刚在班里面放过，今天回来就刷到了？！, 8.299
722, 二舅越多，周公子越舒服, 6.979
723, 敬二舅, 48.351
724, 敬二舅, 330.985
725, 致敬二舅！, 4.002
726, 敬二舅, 34.332
727, 全文背诵, 0.893
728, 929, 26.791
729, 敬二舅, 13.082
730, 致敬二舅, 18.879
731, ？？？, 286.419
732, 这家具厉害了, 186.939
733, 全世界无产者，联合起来！, 127.047
734, 致敬二舅，平凡又不平凡！, 16.939
735, 敬二舅, 18.126
736, 但是扛过苦难的人值得歌颂。, 53.721
737, 2.2万人？, 338.832
738, 敬苦难, 53.875
739, 敬二舅, 26.822
740, 敬二舅, 29.073
741, ？？？, 291.835
742, 我家的老厨柜也是超豪华ok的, 197.249
743, 敬二舅, 37.986
744, 《活着》, 28.382
745, 这是作者要表达的观点, 118.521
746, ？？, 282.569
